Year,SOURCE_DETAIL,SDG Series,Type of product,Source details,Value
2015,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2016,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2017,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2018,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2019,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2020,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2021,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2022,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2000,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2001,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2002,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2003,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2004,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2005,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2006,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2007,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2008,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2009,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2010,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2011,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2012,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2013,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2014,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2015,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2016,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2017,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2018,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2019,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2020,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2021,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2022,WESR / Global Material Flows Database,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),WESR / Global Material Flows Database,0.0
2000,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1673.0
2001,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1738.0
2002,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1796.0
2003,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1867.0
2004,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1970.0
2005,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1634.0
2006,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,2213.0
2007,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1458.0
2008,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1314.0
2009,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1393.0
2010,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,1081.283
2011,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,810.738
2012,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,619.25
2013,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,490.673
2014,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,503.56
2015,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,461.535
2016,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,588.553
2017,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,548.89
2018,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,289.989
2019,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,332.715
2020,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,330.0
2021,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,348.67989
2022,WESR / Global Material Flows Database,"Domestic material consumption [8.4.2,12.2.2]",,WESR / Global Material Flows Database,358.22738
2000,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2001,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2002,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2003,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2004,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2005,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2006,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2007,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2008,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2009,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2010,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2011,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2012,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2013,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2014,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2015,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2016,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2017,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2018,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2019,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2020,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2021,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2022,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2000,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2001,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2002,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2003,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2004,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2005,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2006,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2007,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2008,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2009,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2010,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2011,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2012,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2013,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2014,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2015,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2016,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
2017,"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire","Domestic material consumption [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),"UN Statistics Division, Country Files from the UNSD/UNEP data collection on environment statistics (available at: https://unstats.un.org/unsd/envstats/country_files) - UNSD/UNEP Questionnaire",0.0
